split,condition_id,query,positive_target_after_annotation,negative_target_after_annotation,selected_retrieval_candidates,actual_positive_count,actual_negative_count,status
train,OBJ01,車がいる画像,50,20,46,,,pending_annotation
train,OBJ02,バスがいる画像,50,20,47,,,pending_annotation
train,OBJ03,トラックがいる画像,50,20,49,,,pending_annotation
train,OBJ04,バンがいる画像,50,20,49,,,pending_annotation
train,OBJ05,歩行者がいる画像,50,20,49,,,pending_annotation
train,OBJ06,自転車がいる画像,50,20,52,,,pending_annotation
train,OBJ07,バイクがいる画像,50,20,49,,,pending_annotation
train,COL01,白い車がいる画像,50,20,46,,,pending_annotation
train,COL02,黒い車がいる画像,50,20,46,,,pending_annotation
train,COL03,赤い車がいる画像,50,20,46,,,pending_annotation
train,COL04,青い車がいる画像,50,20,47,,,pending_annotation
train,COL05,白いバスがいる画像,50,20,49,,,pending_annotation
train,COL06,黒いバスがいる画像,50,20,47,,,pending_annotation
train,COL07,赤いバスがいる画像,50,20,47,,,pending_annotation
train,COL08,青いバスがいる画像,50,20,47,,,pending_annotation
train,COL09,白いトラックがいる画像,50,20,49,,,pending_annotation
train,COL10,黒いトラックがいる画像,50,20,46,,,pending_annotation
train,COL11,赤いトラックがいる画像,50,20,48,,,pending_annotation
train,COL12,青いトラックがいる画像,50,20,48,,,pending_annotation
train,COL13,白いバンがいる画像,50,20,49,,,pending_annotation
train,COL14,黒いバンがいる画像,50,20,48,,,pending_annotation
train,COL15,赤いバンがいる画像,50,20,48,,,pending_annotation
train,COL16,青いバンがいる画像,50,20,48,,,pending_annotation
train,COL17,白い自転車がいる画像,50,20,49,,,pending_annotation
train,COL18,黒い自転車がいる画像,50,20,48,,,pending_annotation
train,COL19,赤い自転車がいる画像,50,20,49,,,pending_annotation
train,COL20,青い自転車がいる画像,50,20,50,,,pending_annotation
train,COL21,白いバイクがいる画像,50,20,50,,,pending_annotation
train,COL22,黒いバイクがいる画像,50,20,47,,,pending_annotation
train,COL23,赤いバイクがいる画像,50,20,46,,,pending_annotation
train,COL24,青いバイクがいる画像,50,20,48,,,pending_annotation
train,POS01,画面左に車がいる画像,50,20,46,,,pending_annotation
train,POS02,画面中央に車がいる画像,50,20,48,,,pending_annotation
train,POS03,画面右に車がいる画像,50,20,47,,,pending_annotation
train,POS04,画面左にバスがいる画像,50,20,51,,,pending_annotation
train,POS05,画面中央にバスがいる画像,50,20,49,,,pending_annotation
train,POS06,画面右にバスがいる画像,50,20,49,,,pending_annotation
train,POS07,画面左にトラックがいる画像,50,20,49,,,pending_annotation
train,POS08,画面中央にトラックがいる画像,50,20,48,,,pending_annotation
train,POS09,画面右にトラックがいる画像,50,20,46,,,pending_annotation
train,POS10,画面左にバンがいる画像,50,20,49,,,pending_annotation
train,POS11,画面中央にバンがいる画像,50,20,48,,,pending_annotation
train,POS12,画面右にバンがいる画像,50,20,49,,,pending_annotation
train,POS13,画面左に歩行者がいる画像,50,20,47,,,pending_annotation
train,POS14,画面中央に歩行者がいる画像,50,20,48,,,pending_annotation
train,POS15,画面右に歩行者がいる画像,50,20,49,,,pending_annotation
train,POS16,画面左に自転車がいる画像,50,20,48,,,pending_annotation
train,POS17,画面中央に自転車がいる画像,50,20,49,,,pending_annotation
train,POS18,画面右に自転車がいる画像,50,20,49,,,pending_annotation
train,POS19,画面左にバイクがいる画像,50,20,50,,,pending_annotation
train,POS20,画面中央にバイクがいる画像,50,20,51,,,pending_annotation
train,POS21,画面右にバイクがいる画像,50,20,50,,,pending_annotation
train,LOC01,自車と同じ車線に車がいる画像,50,20,46,,,pending_annotation
train,LOC02,自車の左隣の車線に車がいる画像,50,20,46,,,pending_annotation
train,LOC03,自車の右隣の車線に車がいる画像,50,20,48,,,pending_annotation
train,LOC04,対向車線に車がいる画像,50,20,47,,,pending_annotation
train,LOC05,自車と同じ車線にバスがいる画像,50,20,49,,,pending_annotation
train,LOC06,自車の左隣の車線にバスがいる画像,50,20,49,,,pending_annotation
train,LOC07,自車の右隣の車線にバスがいる画像,50,20,49,,,pending_annotation
train,LOC08,対向車線にバスがいる画像,50,20,50,,,pending_annotation
train,LOC09,自車と同じ車線にトラックがいる画像,50,20,49,,,pending_annotation
train,LOC10,自車の左隣の車線にトラックがいる画像,50,20,49,,,pending_annotation
train,LOC11,自車の右隣の車線にトラックがいる画像,50,20,49,,,pending_annotation
train,LOC12,対向車線にトラックがいる画像,50,20,47,,,pending_annotation
train,LOC13,自車と同じ車線にバンがいる画像,50,20,54,,,pending_annotation
train,LOC14,自車の左隣の車線にバンがいる画像,50,20,52,,,pending_annotation
train,LOC15,自車の右隣の車線にバンがいる画像,50,20,49,,,pending_annotation
train,LOC16,対向車線にバンがいる画像,50,20,48,,,pending_annotation
train,LOC17,自車と同じ車線に自転車がいる画像,50,20,48,,,pending_annotation
train,LOC18,自車の左隣の車線に自転車がいる画像,50,20,49,,,pending_annotation
train,LOC19,自車の右隣の車線に自転車がいる画像,50,20,48,,,pending_annotation
train,LOC20,対向車線に自転車がいる画像,50,20,48,,,pending_annotation
train,LOC21,自車と同じ車線にバイクがいる画像,50,20,49,,,pending_annotation
train,LOC22,自車の左隣の車線にバイクがいる画像,50,20,49,,,pending_annotation
train,LOC23,自車の右隣の車線にバイクがいる画像,50,20,50,,,pending_annotation
train,LOC24,対向車線にバイクがいる画像,50,20,49,,,pending_annotation
train,LOC25,歩道上に歩行者がいる画像,50,20,50,,,pending_annotation
train,LOC26,横断歩道上に歩行者がいる画像,50,20,47,,,pending_annotation
train,LOC27,車道上に歩行者がいる画像,50,20,48,,,pending_annotation
train,ORI01,こちらに正面を向けた車がいる画像,50,20,46,,,pending_annotation
train,ORI02,後ろ姿が見える車がいる画像,50,20,46,,,pending_annotation
train,ORI03,こちらに正面を向けたバスがいる画像,50,20,49,,,pending_annotation
train,ORI04,後ろ姿が見えるバスがいる画像,50,20,48,,,pending_annotation
train,ORI05,こちらに正面を向けたトラックがいる画像,50,20,49,,,pending_annotation
train,ORI06,後ろ姿が見えるトラックがいる画像,50,20,47,,,pending_annotation
train,ORI07,こちらに正面を向けたバンがいる画像,50,20,49,,,pending_annotation
train,ORI08,後ろ姿が見えるバンがいる画像,50,20,47,,,pending_annotation
train,ORI09,こちらに正面を向けた自転車がいる画像,50,20,52,,,pending_annotation
train,ORI10,後ろ姿が見える自転車がいる画像,50,20,49,,,pending_annotation
train,ORI11,こちらに正面を向けたバイクがいる画像,50,20,48,,,pending_annotation
train,ORI12,後ろ姿が見えるバイクがいる画像,50,20,50,,,pending_annotation
train,ROAD01,市街地の道路の画像,50,20,46,,,pending_annotation
train,ROAD02,住宅街の道路の画像,50,20,45,,,pending_annotation
train,ROAD03,高速道路の画像,50,20,46,,,pending_annotation
train,ROAD04,田舎道の画像,50,20,47,,,pending_annotation
train,ROAD05,トンネル内の画像,50,20,45,,,pending_annotation
train,ROAD06,橋の上の道路の画像,50,20,45,,,pending_annotation
train,ROAD07,交差点が見える画像,50,20,46,,,pending_annotation
train,ROAD08,横断歩道が見える画像,50,20,47,,,pending_annotation
train,ROAD09,道路の工事区間が見える画像,50,20,45,,,pending_annotation
train,ROAD10,赤信号が見える画像,50,20,46,,,pending_annotation
train,ROAD11,青信号が見える画像,50,20,46,,,pending_annotation
train,ROAD12,黄信号が見える画像,50,20,46,,,pending_annotation
train,ROAD13,路面が濡れている画像,50,20,46,,,pending_annotation
train,ROAD14,路面に雪がある画像,50,20,45,,,pending_annotation
train,ROAD15,道路がカーブしている画像,50,20,46,,,pending_annotation
train,ROAD16,坂道の画像,50,20,46,,,pending_annotation
train,ENV01,昼の道路の画像,50,20,46,,,pending_annotation
train,ENV02,夜の道路の画像,50,20,46,,,pending_annotation
train,ENV03,薄明の道路の画像,50,20,46,,,pending_annotation
train,ENV04,晴れた道路の画像,50,20,46,,,pending_annotation
train,ENV05,曇りの道路の画像,50,20,46,,,pending_annotation
train,ENV06,雨が降っている道路の画像,50,20,45,,,pending_annotation
train,ENV07,雪が降っている道路の画像,50,20,46,,,pending_annotation
train,ENV08,霧のある道路の画像,50,20,47,,,pending_annotation
train,CO01,車とバスがいる画像,50,20,48,,,pending_annotation
train,CO02,車とトラックがいる画像,50,20,50,,,pending_annotation
train,CO03,車とバンがいる画像,50,20,49,,,pending_annotation
train,CO04,車と歩行者がいる画像,50,20,48,,,pending_annotation
train,CO05,車と自転車がいる画像,50,20,48,,,pending_annotation
train,CO06,車とバイクがいる画像,50,20,49,,,pending_annotation
train,CO07,バスとトラックがいる画像,50,20,49,,,pending_annotation
train,CO08,バスとバンがいる画像,50,20,49,,,pending_annotation
train,CO09,バスと歩行者がいる画像,50,20,46,,,pending_annotation
train,CO10,バスと自転車がいる画像,50,20,49,,,pending_annotation
train,CO11,バスとバイクがいる画像,50,20,49,,,pending_annotation
train,CO12,トラックとバンがいる画像,50,20,48,,,pending_annotation
train,CO13,トラックと歩行者がいる画像,50,20,48,,,pending_annotation
train,CO14,トラックと自転車がいる画像,50,20,51,,,pending_annotation
train,CO15,トラックとバイクがいる画像,50,20,49,,,pending_annotation
train,CO16,バンと歩行者がいる画像,50,20,47,,,pending_annotation
train,CO17,バンと自転車がいる画像,50,20,49,,,pending_annotation
train,CO18,バンとバイクがいる画像,50,20,48,,,pending_annotation
train,CO19,歩行者と自転車がいる画像,50,20,49,,,pending_annotation
train,CO20,歩行者とバイクがいる画像,50,20,50,,,pending_annotation
train,CO21,自転車とバイクがいる画像,50,20,51,,,pending_annotation
train,CE01,夜の横断歩道上に歩行者がいる画像,20,20,22,,,pending_annotation
train,CE02,昼の横断歩道上に歩行者がいる画像,20,20,31,,,pending_annotation
train,CE03,薄明の歩道上に歩行者がいる画像,20,20,32,,,pending_annotation
train,CE04,夜に自転車がいる画像,20,20,26,,,pending_annotation
train,CE05,夜にバイクがいる画像,20,20,29,,,pending_annotation
train,CE06,霧の中に歩行者がいる画像,20,20,29,,,pending_annotation
train,CE07,霧の中に車がいる画像,20,20,25,,,pending_annotation
train,CE08,道路の工事区間と自転車が見える画像,20,20,36,,,pending_annotation
train,CE09,道路の工事区間と歩行者が見える画像,20,20,20,,,pending_annotation
train,CE10,路面に雪があり車がいる画像,20,20,25,,,pending_annotation
train,CE11,路面に雪があり歩行者がいる画像,20,20,21,,,pending_annotation
train,CE12,路面が濡れていて自転車がいる画像,20,20,25,,,pending_annotation
train,CE13,路面が濡れていてバイクがいる画像,20,20,26,,,pending_annotation
train,CE14,雨が降る道路にバスがいる画像,20,20,20,,,pending_annotation
train,CE15,雨が降る道路の歩道上に歩行者がいる画像,20,20,20,,,pending_annotation
train,CE16,雪が降る道路にトラックがいる画像,20,20,27,,,pending_annotation
train,CE17,トンネル内に車がいる画像,20,20,20,,,pending_annotation
train,CE18,橋の上にトラックがいる画像,20,20,21,,,pending_annotation
train,CE19,交差点とバイクが見える画像,20,20,44,,,pending_annotation
train,CE20,赤信号と車が見える画像,20,20,26,,,pending_annotation
train,CE21,青信号と自転車が見える画像,20,20,35,,,pending_annotation
train,CE22,黄信号とバンが見える画像,20,20,26,,,pending_annotation
train,CE23,住宅街に歩行者がいる画像,20,20,24,,,pending_annotation
train,CE24,高速道路にバスがいる画像,20,20,23,,,pending_annotation
train,CA01,画面左に赤い車がいる画像,20,20,29,,,pending_annotation
train,CA02,画面右に白い車がいる画像,20,20,32,,,pending_annotation
train,CA03,画面左に白いバスがいる画像,20,20,44,,,pending_annotation
train,CA04,画面右に赤いバスがいる画像,20,20,35,,,pending_annotation
train,CA05,画面中央に青いトラックがいる画像,20,20,35,,,pending_annotation
train,CA06,画面右に白いトラックがいる画像,20,20,47,,,pending_annotation
train,CA07,画面左に黒いバンがいる画像,20,20,40,,,pending_annotation
train,CA08,画面中央に白いバンがいる画像,20,20,41,,,pending_annotation
train,CA09,画面右に赤い自転車がいる画像,20,20,44,,,pending_annotation
train,CA10,画面左に青い自転車がいる画像,20,20,46,,,pending_annotation
train,CA11,画面右に黒いバイクがいる画像,20,20,33,,,pending_annotation
train,CA12,画面左に白いバイクがいる画像,20,20,38,,,pending_annotation
train,CA13,自車と同じ車線に、こちらに正面を向けた自転車がいる画像,20,20,44,,,pending_annotation
train,CA14,自車と同じ車線に後ろ姿が見える車がいる画像,20,20,29,,,pending_annotation
train,CA15,画面右の歩道上に歩行者がいる画像,20,20,39,,,pending_annotation
train,CA16,画面左の横断歩道上に歩行者がいる画像,20,20,35,,,pending_annotation
train,CB01,赤い車と白いバスがいる画像,20,20,30,,,pending_annotation
train,CB02,白い車と赤いバスがいる画像,20,20,40,,,pending_annotation
train,CB03,黒い車と白いトラックがいる画像,20,20,34,,,pending_annotation
train,CB04,白い車と黒いトラックがいる画像,20,20,33,,,pending_annotation
train,CB05,青いバンと赤い車がいる画像,20,20,32,,,pending_annotation
train,CB06,赤いバンと青い車がいる画像,20,20,32,,,pending_annotation
train,CB07,白いバスと青いトラックがいる画像,20,20,47,,,pending_annotation
train,CB08,青いバスと白いトラックがいる画像,20,20,36,,,pending_annotation
train,CB09,赤い自転車と黒いバイクがいる画像,20,20,37,,,pending_annotation
train,CB10,黒い自転車と赤いバイクがいる画像,20,20,36,,,pending_annotation
train,CB11,青い自転車と白い車がいる画像,20,20,41,,,pending_annotation
train,CB12,白い自転車と青い車がいる画像,20,20,44,,,pending_annotation
train,CB13,画面左の歩行者と画面右の自転車がいる画像,20,20,44,,,pending_annotation
train,CB14,画面右の歩行者と画面左の自転車がいる画像,20,20,43,,,pending_annotation
train,CB15,画面左のバスと画面右のバイクがいる画像,20,20,46,,,pending_annotation
train,CB16,画面右のバスと画面左のバイクがいる画像,20,20,39,,,pending_annotation
train,CB17,画面中央の車と画面右のトラックがいる画像,20,20,41,,,pending_annotation
train,CB18,画面右の車と画面中央のトラックがいる画像,20,20,39,,,pending_annotation
train,CB19,画面左のバンと画面中央の歩行者がいる画像,20,20,29,,,pending_annotation
train,CB20,画面中央のバンと画面左の歩行者がいる画像,20,20,33,,,pending_annotation
train,CB21,画面左の車と画面右のバスがいる画像,20,20,40,,,pending_annotation
train,CB22,画面右の車と画面左のバスがいる画像,20,20,43,,,pending_annotation
train,CB23,画面中央の自転車と画面左のバイクがいる画像,20,20,41,,,pending_annotation
train,CB24,画面左の自転車と画面中央のバイクがいる画像,20,20,39,,,pending_annotation
train,H01,夜の画面左に自転車がいる画像,0,0,,,,excluded_heldout_query
train,H02,薄明の画面右にバイクがいる画像,0,0,,,,excluded_heldout_query
train,H03,霧のある道路の歩道上に歩行者がいる画像,0,0,,,,excluded_heldout_query
